student_id,student_name,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,subject_avg,risk_label,instruction,guidance
1001,Vikram Gupta,Psychology,Male,Programming,Unit Test 2,2026-02-19,51,100,51,53,51.0,75.0,80.0,51.0,no_risk,,
1002,Rishabh Nair,Mechanical Engineering,Male,Physics,Assessment 2,2026-03-04,50,100,50,57,50.0,82.0,76.0,50.0,subject_weakness,"Class: 8A, Subject: Physics, Score: 50%, Attendance: 76%, Overall avg: 82%, Subject avg: 50%.",Student performing well (82%) except Physics (50% average). Need Physics specialization. PLAN: 1) One-on-one Physics coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Physics 5) Weekly check-ins to track Physics improvement.
1003,Nisha Bhat,Computer Science & Engineering,Female,Math,Unit Test 3,2026-02-23,53,100,53,51,53.0,76.0,89.0,53.0,subject_weakness,"Class: 10A, Subject: Math, Score: 53%, Attendance: 89%, Overall avg: 76%, Subject avg: 53%.",Student excels generally (76% overall) but struggles in Math (53% average). Math seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Math materials 4) Bi-weekly progress tests 5) Peer mentoring in Math.
1004,Jatin Verma,Biotechnology,Male,Social Studies,Monthly Assessment,2026-03-08,46,100,46,54,46.0,75.0,78.0,46.0,subject_weakness,"Class: 10B, Subject: Social Studies, Score: 46%, Attendance: 78%, Overall avg: 75%, Subject avg: 46%.",Clear strength-weakness pattern: 75% average overall but only 46% in Social Studies. Social Studies is holding back potential. CORRECTIVE MEASURES: 1) Immediate Social Studies tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
1005,Pooja Patel,Electrical Engineering,Female,History,Assessment 1,2026-03-10,88,100,88,92,88.0,85.0,90.0,88.0,no_risk,"Class: 8A, Subject: History, Score: 88%, Attendance: 90%, Overall avg: 85%.",✅ History mastery shown (88% with 90% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in History 3) Mentoring weaker students 4) Competitive exam preparation.
1006,Ananya Verma,Electronics & Communication,Female,English,Formative Test,2026-03-01,53,100,53,53,53.0,86.0,75.0,53.0,subject_weakness,"Class: 10B, Subject: English, Score: 53%, Attendance: 75%, Overall avg: 86%, Subject avg: 53%.",Student excels generally (86% overall) but struggles in English (53% average). English seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified English materials 4) Bi-weekly progress tests 5) Peer mentoring in English.
1007,Sakshi Bhat,Electronics & Communication,Female,History,Pre-Board Exam,2026-02-18,43,100,43,46,43.0,72.0,76.0,43.0,subject_weakness,"Class: 10A, Subject: History, Score: 43%, Attendance: 76%, Overall avg: 72%, Subject avg: 43%.",Student performing well (72%) except History (43% average). Need History specialization. PLAN: 1) One-on-one History coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for History 5) Weekly check-ins to track History improvement.
1008,Sakshi Gupta,Civil Engineering,Female,Chemistry,Formative Test,2026-02-15,61,100,61,76,61.0,75.0,69.0,61.0,gradual_decline,"Class: 10B, Subject: Chemistry, Scores history: 80% → 70% → 60%. Attendance: 69%, Overall avg: 51%, Subject avg: 70%.",Chemistry scores declining steadily: 80% → 70% → 60%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
1009,Rishabh Rao,Biotechnology,Male,Physics,Performance Test,2026-02-22,62,100,62,84,62.0,75.0,60.0,62.0,sudden_drop,"Class: 9B, Subject: Physics, Score: 62% (previous: 77%), Attendance: 60%, Overall avg: 78%, Subject avg: 69%.",Amit's Physics dropped 15 points suddenly (77% → 62%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
1010,Swati Kumar,Mechanical Engineering,Female,Chemistry,Assessment 2,2026-02-23,50,100,50,52,50.0,84.0,88.0,50.0,subject_weakness,"Class: 8B, Subject: Chemistry, Score: 50%, Attendance: 88%, Overall avg: 84%, Subject avg: 50%.",Student excels generally (84% overall) but struggles in Chemistry (50% average). Chemistry seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Chemistry materials 4) Bi-weekly progress tests 5) Peer mentoring in Chemistry.
